ID,Name,Lot
00932,RM GROUP,4000
00933,BRIGHTOIL,1000
00934,SINOPEC KANTONS,2000
00935,DRAGON CROWN,2000
00936,EAGLE LEGEND,10000
00938,MAN SANG INT'L,2000
00939,CCB,1000
00940,C ANIMAL HEALTH,1000
00941,CHINA MOBILE,500
00943,EFORCE HOLDINGS,8000
00945,MANULIFE-S,100
00947,MOBI DEV,1000
00948,Z-OBEE,2000
00950,LEE'S PHARM,500
00951,CHAOWEI POWER,1000
00952,QUAM,10000
00953,SHAW BROTHERS,2000
00954,CHANGMAO BIO,4000
00956,CHINA SUNTIEN,1000
00958,HN RENEWABLES,2000
00959,AMAX INT HOLD,2000
00960,LONGFOR PPT,500
00963,BLOOMAGE BIOTEC,2500
00966,CHINA TAIPING,200
00967,SOUND GLOBAL,1000
00968,XINYI SOLAR,2000
00969,HUA LIEN INT'L,2000
00970,SPARKLE ROLL,8000
00973,L'OCCITANE,250
00974,SKL,1000
00975,MONGOL MINING,500
00976,CHIHO-TIANDE,2000
00978,CHI MER LAND,2000
00979,GREEN ENERGY GP,2000
00980,LIANHUA,1000
00981,SMIC,500
00982,IONE HOLDINGS,20000
00983,SOCAM DEV,2000
00984,AEON STORES,500
00985,NETMIND FIN,8000
00986,CH ENV ENERGY,2000
00987,CH RENEW EN INV,2000
00988,LOUDONG GN RES,3000
00989,GROUND INTL DEV,5000
00990,THEME INT'L,10000
00991,DATANG POWER,2000
00992,LENOVO GROUP,2000
00993,HUARONG INT FIN,1000
00995,ANHUIEXPRESSWAY,2000
00996,CARNIVAL GROUP,10000
00997,CHINLINK INTL,5000
00998,CITIC BANK,1000
00999,I.T,2000
01000,BEIJING MEDIA,500
01001,HK SH ALLIANCE,2000
01002,V.S. INT'L,4000
01003,HUANXI MEDIA,10000
01004,C SMARTERENERGY,2000
01005,MATRIX HOLDINGS,2000
01006,CHANGSHOUHUA,1000
01007,DAQING DAIRY,1000
01008,BRILLIANT CIR,2000
